Time;J_MUR_T1;TP_EF_T1
21.11.2015 22:5:0;95.37;92.77
21.11.2015 22:6:0;95.29;92.77
21.11.2015 22:7:0;95.29;93.07
21.11.2015 22:8:0;95.29;92.98
21.11.2015 22:9:0;95.29;92.98
21.11.2015 22:10:0;95.29;92.77
21.11.2015 22:11:0;95.46;92.68
21.11.2015 22:12:0;95.37;93.20
21.11.2015 22:13:0;95.50;93.20
21.11.2015 22:14:0;95.68;93.11
21.11.2015 22:15:0;95.72;92.77
21.11.2015 22:16:0;95.72;92.98
21.11.2015 22:17:0;95.89;93.20
21.11.2015 22:18:0;95.89;93.33
21.11.2015 22:19:0;95.89;93.20
21.11.2015 22:20:0;95.89;93.20
21.11.2015 22:21:0;95.89;93.11
21.11.2015 22:22:0;95.89;92.77
21.11.2015 22:23:0;95.94;93.07
21.11.2015 22:24:0;95.89;93.07
21.11.2015 22:25:0;95.94;92.98
21.11.2015 22:26:0;95.81;92.90
21.11.2015 22:27:0;95.81;92.68
21.11.2015 22:28:0;95.81;92.77
21.11.2015 22:29:0;95.72;92.77
21.11.2015 22:30:0;95.76;92.68
21.11.2015 22:31:0;95.76;92.51
21.11.2015 22:32:0;95.76;92.64
21.11.2015 22:33:0;95.68;92.51
21.11.2015 22:34:0;95.72;92.64
21.11.2015 22:35:0;95.68;92.64
21.11.2015 22:36:0;95.68;92.64
21.11.2015 22:37:0;95.68;92.64
21.11.2015 22:38:0;95.59;92.72
21.11.2015 22:39:0;95.59;92.72
21.11.2015 22:40:0;95.55;92.51
21.11.2015 22:41:0;95.55;92.20
21.11.2015 22:42:0;95.55;92.20
21.11.2015 22:43:0;95.59;92.64
21.11.2015 22:44:0;95.59;92.64
21.11.2015 22:45:0;95.68;92.42
21.11.2015 22:46:0;95.68;92.77
21.11.2015 22:47:0;95.76;92.77
21.11.2015 22:48:0;95.76;92.98
21.11.2015 22:49:0;96.02;93.20
21.11.2015 22:50:0;95.81;93.20
21.11.2015 22:51:0;95.89;93.20
21.11.2015 22:52:0;95.89;92.98
21.11.2015 22:53:0;95.89;92.90
21.11.2015 22:54:0;95.89;92.77
21.11.2015 22:55:0;95.72;92.68
21.11.2015 22:56:0;95.89;92.29
21.11.2015 22:57:0;95.89;91.99
21.11.2015 22:58:0;95.81;91.90
21.11.2015 22:59:0;95.89;92.42
21.11.2015 23:0:0;95.94;92.72
21.11.2015 23:1:0;95.81;92.72
21.11.2015 23:2:0;95.81;92.90
21.11.2015 23:3:0;95.81;92.77
21.11.2015 23:4:0;95.89;92.90
21.11.2015 23:5:0;95.98;92.90
21.11.2015 23:6:0;95.76;92.90
21.11.2015 23:7:0;95.76;92.68
21.11.2015 23:8:0;95.76;92.51
21.11.2015 23:9:0;95.76;92.29
21.11.2015 23:10:0;95.68;92.20
21.11.2015 23:11:0;95.59;92.07
21.11.2015 23:12:0;95.59;91.99
21.11.2015 23:13:0;95.50;91.99
21.11.2015 23:14:0;95.50;91.86
21.11.2015 23:15:0;95.37;92.29
21.11.2015 23:16:0;95.33;92.64
21.11.2015 23:17:0;95.24;92.64
21.11.2015 23:18:0;95.15;92.90
21.11.2015 23:19:0;95.02;93.07
21.11.2015 23:20:0;95.07;93.07
21.11.2015 23:21:0;95.11;93.20
21.11.2015 23:22:0;95.11;93.33
21.11.2015 23:23:0;95.11;93.20
21.11.2015 23:24:0;95.11;93.11
21.11.2015 23:25:0;95.11;92.98
21.11.2015 23:26:0;95.11;92.77
21.11.2015 23:27:0;95.11;92.77
21.11.2015 23:28:0;95.11;92.68
21.11.2015 23:29:0;95.15;91.99
21.11.2015 23:30:0;95.24;91.90
21.11.2015 23:31:0;95.33;92.42
21.11.2015 23:32:0;95.37;92.72
21.11.2015 23:33:0;95.46;92.72
21.11.2015 23:34:0;95.55;92.72
21.11.2015 23:35:0;95.68;92.77
21.11.2015 23:36:0;95.68;92.77
21.11.2015 23:37:0;95.81;92.68
21.11.2015 23:38:0;95.76;92.77
21.11.2015 23:39:0;95.81;92.68
21.11.2015 23:40:0;95.81;92.51
21.11.2015 23:41:0;95.89;92.29
21.11.2015 23:42:0;95.89;92.20
21.11.2015 23:43:0;95.89;92.07
21.11.2015 23:44:0;95.98;91.99
21.11.2015 23:45:0;95.98;91.90
21.11.2015 23:46:0;95.76;91.68
21.11.2015 23:47:0;95.81;91.90
21.11.2015 23:48:0;95.81;92.20
21.11.2015 23:49:0;95.72;92.29
21.11.2015 23:50:0;95.72;92.29
21.11.2015 23:51:0;95.72;92.29
21.11.2015 23:52:0;95.72;92.51
21.11.2015 23:53:0;95.72;92.64
21.11.2015 23:54:0;95.72;92.29
21.11.2015 23:55:0;95.72;92.64
21.11.2015 23:56:0;95.89;92.72
21.11.2015 23:57:0;95.89;92.64
21.11.2015 23:58:0;95.94;92.64
21.11.2015 23:59:0;96.02;92.42
