Time;J_MUR_T1;TP_EF_T1
21.11.2015 3:43:0;80.40;75.36
21.11.2015 3:44:0;80.53;75.27
21.11.2015 3:45:0;80.31;75.10
21.11.2015 3:46:0;80.48;74.97
21.11.2015 3:47:0;80.35;75.36
21.11.2015 3:48:0;80.27;75.36
21.11.2015 3:49:0;80.35;75.27
21.11.2015 3:50:0;80.27;75.10
21.11.2015 3:51:0;80.27;74.88
21.11.2015 3:52:0;80.27;74.88
21.11.2015 3:53:0;80.31;75.53
21.11.2015 3:54:0;80.31;75.71
21.11.2015 3:55:0;80.31;75.79
21.11.2015 3:56:0;80.31;75.79
21.11.2015 3:57:0;80.31;75.92
21.11.2015 3:58:0;80.18;75.92
21.11.2015 3:59:0;80.35;75.92
21.11.2015 4:0:0;80.18;75.53
21.11.2015 4:1:0;80.48;75.53
21.11.2015 4:2:0;80.53;75.62
21.11.2015 4:3:0;80.40;75.53
21.11.2015 4:4:0;80.53;75.36
21.11.2015 4:5:0;80.53;75.36
21.11.2015 4:6:0;80.53;75.27
21.11.2015 4:7:0;80.53;75.19
21.11.2015 4:8:0;80.53;75.10
21.11.2015 4:9:0;80.53;74.88
21.11.2015 4:10:0;80.53;74.62
21.11.2015 4:11:0;80.53;74.49
21.11.2015 4:12:0;80.53;75.10
21.11.2015 4:13:0;80.53;75.19
21.11.2015 4:14:0;80.61;74.97
21.11.2015 4:15:0;80.74;75.27
21.11.2015 4:16:0;80.83;75.53
21.11.2015 4:17:0;81.05;75.79
21.11.2015 4:18:0;81.22;75.79
21.11.2015 4:19:0;81.44;75.79
21.11.2015 4:20:0;81.79;75.71
21.11.2015 4:21:0;81.92;75.62
21.11.2015 4:22:0;82.05;75.62
21.11.2015 4:23:0;82.13;75.53
21.11.2015 4:24:0;82.26;75.36
21.11.2015 4:25:0;82.26;75.27
21.11.2015 4:26:0;82.13;75.19
21.11.2015 4:27:0;82.13;75.10
21.11.2015 4:28:0;82.05;74.62
21.11.2015 4:29:0;82.00;74.49
21.11.2015 4:30:0;81.92;75.19
21.11.2015 4:31:0;81.92;75.53
